Verb,Route,Method,Renderer,Location,Archive,Endpoint Suffix
GET,/addons/bitbucket/callback/<uid>/,views.bitbucket_oauth_callback,json_renderer,bitbucket,,
GET,/addons/bitbucket/callback/<uid>/<nid>/,views.bitbucket_oauth_callback,json_renderer,bitbucket,,
GET,/addons/dropbox/oauth/finish/,views.auth.dropbox_oauth_finish,json_renderer,dropbox,,
GET,/addons/figshare/callback/<uid>/,views.auth.figshare_oauth_callback,json_renderer,figshare,,
GET,/addons/figshare/callback/<uid>/<nid>/,views.auth.figshare_oauth_callback,json_renderer,figshare,,
GET,/addons/github/callback/<uid>/,views.auth.github_oauth_callback,json_renderer,github,,
GET,/addons/github/callback/<uid>/<nid>/,views.auth.github_oauth_callback,json_renderer,github,,
GET,/dashboard/,website_views.get_dashboard,json_renderer,website,,
GET,/dashboard/<nid>,website_views.get_dashboard,json_renderer,website,,
GET,/dashboard/get_nodes/,website_views.get_dashboard_nodes,json_renderer,website,,
POST,/email/meeting/,project_views.email.meeting_hook,json_renderer,website,,
DELETE,/folder/,project_views.node.delete_folder_quietly,json_renderer,website,,
PUT,/folder/,project_views.node.add_folder,json_renderer,website,,
DELETE,/folder/<pid>,project_views.node.delete_folder,json_renderer,website,,
DELETE,/folder/<pid>/pointer/<pointer_id>,project_views.node.remove_pointer_from_folder,json_renderer,website,,
DELETE,/folder/<pid>/pointers/,project_views.node.remove_pointers_from_folder,json_renderer,website,,
GET,/forms/forgot_password/,website_views.forgot_password_form,json_renderer,website,,
GET,/forms/registration/,website_views.registration_form,json_renderer,website,,
GET,/forms/reset_password/,website_views.reset_password_form,json_renderer,website,,
GET,/forms/signin/,website_views.signin_form,json_renderer,website,,
GET,/log/<log_id>/,project_views.log.get_log,json_renderer,website,,
POST,/pointer/,project_views.node.add_pointer,json_renderer,website,,
POST,/pointers/move/,project_views.node.move_pointers,json_renderer,website,,
GET,/profile/,profile_views.profile_view,json_renderer,website,,
GET,/profile/<uid>/,profile_views.profile_view_id,json_renderer,website,,
GET,/profile/<uid>/<addon>/settings/,addon_views.get_addon_user_config,json_renderer,website,,
POST,/profile/<uid>/edit/,profile_views.edit_profile,json_renderer,website,,
GET,/profile/<uid>/public_components/,profile_views.get_public_components,json_renderer,website,,
GET,/profile/<uid>/public_projects/,profile_views.get_public_projects,json_renderer,website,,
GET,/profile/<user_id>/summary/,profile_views.get_profile_summary,json_renderer,website,,
GET,/project/<pid>/,project_views.node.view_project,json_renderer,website,,
DELETE,/project/<pid>/,project_views.node.component_remove,json_renderer,website,,
POST,/project/<pid>/<addon>/settings/disable/,addon_views.disable_addon,json_renderer,website,,
POST,/project/<pid>/addtag/<tag>/,project_views.tag.project_addtag,json_renderer,website,,
GET,/project/<pid>/beforeregister/,project_views.register.project_before_register,json_renderer,website,,
